hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_group	gene_group_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	in_omim	in_panelapp_uk
HGNC:7199	MOS	MOS proto-oncogene, serine/threonine kinase	protein-coding gene	gene with protein product	Approved	8q12.1	08q12.1				v-mos Moloney murine sarcoma viral oncogene homolog			2001-06-22		2016-12-06	2023-01-20	4342	ENSG00000172680	OTTHUMG00000164299	uc011leb.2		NM_005372	CCDS6164	P00540	9552420	True	False
HGNC:21606	MPC1	mitochondrial pyruvate carrier 1	protein-coding gene	gene with protein product	Approved	6q27	06q27	dJ68L15.3|CGI-129|SLC54A1		BRP44L	brain protein 44-like	Solute carrier family 54, mitochondrial pyruvate carriers	2204	2003-06-26	2012-07-30	2012-07-30	2023-03-14	51660	ENSG00000060762	OTTHUMG00000015999	uc063svb.1	AF125101	NM_016098	CCDS5293|CCDS75547	Q9Y5U8	22628558	True	True
HGNC:7207	MPDU1	mannose-P-dolichol utilization defect 1	protein-coding gene	gene with protein product	Approved	17p13.1	17p13.1	SL15|Lec35|PQLC5|CDGIf|SLC66A5				Solute carrier family 66	2215	1999-05-25			2023-03-14	9526	ENSG00000129255	OTTHUMG00000108147	uc002ghw.4	AF038961	NM_001330073	CCDS11115|CCDS82054	O75352	8663248|9653160|11733564	True	True
HGNC:7208	MPDZ	multiple PDZ domain crumbs cell polarity complex component	protein-coding gene	gene with protein product	Approved	9p23	09p23	MUPP1			multiple PDZ domain protein	PDZ domain containing|Crumbs complex	1220|1223	1998-12-16		2016-02-22	2023-01-20	8777	ENSG00000107186	OTTHUMG00000021031	uc003zlb.5	AF093419	NM_003829		O75970		True	True
HGNC:29619	MPEG1	macrophage expressed 1	protein-coding gene	gene with protein product	Approved	11q12.1	11q12.1	MPG1	macrophage expressed gene 1					2008-12-02			2023-01-20	219972	ENSG00000197629	OTTHUMG00000162676	uc001nnu.5	AK097211	NM_001039396	CCDS41650	Q2M385	7888681|23257510	True	True
HGNC:7216	MPI	mannose phosphate isomerase	protein-coding gene	gene with protein product	Approved	15q24.1	15q24.1		mannose-6-phosphate isomerase					2001-06-22			2023-01-20	4351	ENSG00000178802	OTTHUMG00000142826	uc002azc.3		NM_001289155		P34949		True	True
HGNC:13937	MPIG6B	megakaryocyte and platelet inhibitory receptor G6b	protein-coding gene	gene with protein product	Approved	6p21.33	06p21.33	G6b|NG31|G6b-B		C6orf25	chromosome 6 open reading frame 25			2002-04-05	2017-01-04	2017-01-04	2023-01-20	80739	ENSG00000204420	OTTHUMG00000031130	uc003nwk.4		NM_138272		O95866	10384126|11544253	False	True
HGNC:7217	MPL	MPL proto-oncogene, thrombopoietin receptor	protein-coding gene	gene with protein product	Approved	1p34.2	01p34.2	CD110|TPOR|THPOR			myeloproliferative leukemia virus oncogene	CD molecules|Fibronectin type III domain containing	471|555	1990-09-10		2014-06-26	2023-01-20	4352	ENSG00000117400	OTTHUMG00000007429	uc001ciw.4	M90102	NM_005373	CCDS483	P40238	1608974	True	True
HGNC:16002	MPLKIP	M-phase specific PLK1 interacting protein	protein-coding gene	gene with protein product	Approved	7p14.1	07p14.1	ORF20|TTDN1		C7orf11	chromosome 7 open reading frame 11			2002-02-13	2012-03-01	2012-03-01	2023-01-20	136647	ENSG00000168303	OTTHUMG00000128797	uc003thl.5	AX048113	NM_138701	CCDS5463	Q8TAP9	11829489	True	True
HGNC:7218	MPO	myeloperoxidase	protein-coding gene	gene with protein product	Approved	17q22	17q22							2001-06-22			2023-01-20	4353	ENSG00000005381	OTTHUMG00000178922	uc002ivu.1		NM_000250	CCDS11604	P05164		True	True
HGNC:7224	MPV17	mitochondrial inner membrane protein MPV17	protein-coding gene	gene with protein product	Approved	2p23.3	02p23.3	SYM1	glomerulosclerosis		MpV17 transgene, murine homolog, glomerulosclerosis			1994-03-21		2018-08-15	2023-01-20	4358	ENSG00000115204	OTTHUMG00000097074	uc002rjs.4		NM_002437	CCDS1748	P39210	8281143|16582910	True	True
HGNC:7225	MPZ	myelin protein zero	protein-coding gene	gene with protein product	Approved	1q23.3	01q23.3	HMSNIB|CMT2I|CMT2J|P0		CMT1|CMT1B	Charcot-Marie-Tooth neuropathy 1B	V-set domain containing|Ig-like cell adhesion molecule family	590|1410	1990-04-27		2008-08-01	2023-01-20	4359	ENSG00000158887	OTTHUMG00000034341	uc001gaf.4	BC006491	NM_000530		P25189	7693129	True	True
HGNC:3496	MPZL2	myelin protein zero like 2	protein-coding gene	gene with protein product	Approved	11q23.3	11q23.3	EVA		EVA1	epithelial V-like antigen 1	V-set domain containing|Ig-like cell adhesion molecule family	590|1410	1999-11-22	2007-08-01	2016-01-19	2023-01-20	10205	ENSG00000149573	OTTHUMG00000166967	uc001psn.4	AF275945	NM_005797	CCDS8393	O60487	9585423	True	True
HGNC:1304	MRAP	melanocortin 2 receptor accessory protein	protein-coding gene	gene with protein product	Approved	21q22.11	21q22.11	B27|FALP|MRAP1		C21orf61	chromosome 21 open reading frame 61			2000-08-22	2005-02-07	2005-02-01	2023-05-03	56246	ENSG00000170262	OTTHUMG00000085309	uc002ypj.4	AF454915	NM_178817	CCDS13612|CCDS13613	Q8TCY5	12036298|15654338	True	True
HGNC:7227	MRAS	muscle RAS oncogene homolog	protein-coding gene	gene with protein product	Approved	3q22.3	03q22.3	M-RAs|R-RAS3|RRAS3				RAS type GTPase family	389	1999-09-29			2023-01-20	22808	ENSG00000158186	OTTHUMG00000159888	uc003esh.5	AF022080	NM_001085049		O14807	9400994|10446149	True	True
HGNC:7230	MRE11	MRE11 homolog, double strand break repair nuclease	protein-coding gene	gene with protein product	Approved	11q21	11q21	ATLD	AT-like disease	MRE11A	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)|MRE11 homolog A, double strand break repair nuclease	BRCA1 C complex|MRN complex|MicroRNA protein coding host genes	1336|1344|1691	1995-05-05	2016-09-30	2016-09-30	2023-01-20	4361	ENSG00000020922	OTTHUMG00000167780	uc001peu.4	BC063458	NM_005591		P49959	8530104|24316220	True	True
HGNC:16352	MRM2	mitochondrial rRNA methyltransferase 2	protein-coding gene	gene with protein product	Approved	7p22.3	07p22.3	FJH1|RRMJ2	rRNA (uridine-2'-O-)-methyltransferase|MRM2 RNA methyltransferase homolog (S. cerevisiae)	FTSJ2	FtsJ RNA methyltransferase homolog 2 (E. coli)	7BS 2'O-ribose DNA/RNA methyltransferases|DNA/RNA methyltransferases	2062|3371	2001-11-09	2016-04-12	2016-04-12	2023-01-20	29960	ENSG00000122687	OTTHUMG00000023866	uc003slm.3	AF093415	NM_013393	CCDS5328	Q9UI43	11827451|25009282	True	True
HGNC:10379	MRPL3	mitochondrial ribosomal protein L3	protein-coding gene	gene with protein product	Approved	3q22.1	03q22.1	MRL3|uL3m		RPML3		Mitochondrial ribosomal proteins|Small nucleolar RNA protein coding host genes|Large subunit mitochondrial ribosomal proteins	646|1835|1994	1999-09-16			2023-07-07	11222	ENSG00000114686	OTTHUMG00000159607	uc003eoh.4	X06323	NM_007208	CCDS3071	P09001	2891103	True	True
HGNC:14027	MRPL39	mitochondrial ribosomal protein L39	protein-coding gene	gene with protein product	Approved	21q21.3	21q21.3	RPML5|MRP-L5|MGC104174|PRED66|PRED22|C21orf92|L39mt|MSTP003|MGC3400|FLJ20451|mL39				Mitochondrial ribosomal proteins|Large subunit mitochondrial ribosomal proteins	646|1994	2001-02-28			2023-07-07	54148	ENSG00000154719	OTTHUMG00000078371	uc002ylo.4	AB051346	NM_017446		Q9NYK5	11543634	True	True
HGNC:16650	MRPL44	mitochondrial ribosomal protein L44	protein-coding gene	gene with protein product	Approved	2q36.1	02q36.1	FLJ12701|FLJ13990|mL44	39S ribosomal protein L44, mitochondrial			Mitochondrial ribosomal proteins|Large subunit mitochondrial ribosomal proteins	646|1994	2001-10-12			2023-07-07	65080	ENSG00000135900	OTTHUMG00000133164	uc002vnr.4	AK022763	NM_022915	CCDS2459	Q9H9J2		True	True
HGNC:1176	MRPL49	mitochondrial ribosomal protein L49	protein-coding gene	gene with protein product	Approved	11q13.1	11q13.1	NOF|NOF1|L49mt|mL49	neighbor of FAU|next to FAU	C11orf4	chromosome 11 open reading frame 4	Mitochondrial ribosomal proteins|Large subunit mitochondrial ribosomal proteins	646|1994	1998-08-06	2001-10-19	2001-10-16	2023-07-07	740	ENSG00000149792	OTTHUMG00000165608	uc001oda.3		NM_004927	CCDS8096	Q13405	8786148	True	False
HGNC:14495	MRPS2	mitochondrial ribosomal protein S2	protein-coding gene	gene with protein product	Approved	9q34.3	09q34.3	CGI-91|uS2m				Mitochondrial ribosomal proteins|Small subunit mitochondrial ribosomal proteins	646|1996	2001-01-26			2023-07-07	51116	ENSG00000122140	OTTHUMG00000020910	uc004cfv.6	AB051627	NM_001371401	CCDS6990	Q9Y399		True	True
HGNC:14048	MRPS16	mitochondrial ribosomal protein S16	protein-coding gene	gene with protein product	Approved	10q22.2	10q22.2	CGI-132|bS16m				Mitochondrial ribosomal proteins|Small subunit mitochondrial ribosomal proteins	646|1996	2001-02-28			2023-07-07	51021	ENSG00000182180	OTTHUMG00000018454	uc001jts.1	AB051351	NM_001410935		Q9Y3D3	10810093	True	False
HGNC:14508	MRPS22	mitochondrial ribosomal protein S22	protein-coding gene	gene with protein product	Approved	3q23	03q23	MRP-S22|GK002|C3orf5|GIBT|mS22				Mitochondrial ribosomal proteins|Small subunit mitochondrial ribosomal proteins	646|1996	2001-01-26			2023-07-07	56945	ENSG00000175110	OTTHUMG00000159910	uc003etb.4	AF226045	NM_020191		P82650	11175783	True	True
HGNC:16618	MRPS34	mitochondrial ribosomal protein S34	protein-coding gene	gene with protein product	Approved	16p13.3	16p13.3	MRP-S12|MGC2616|mS34				Mitochondrial ribosomal proteins|Small subunit mitochondrial ribosomal proteins	646|1996	2001-09-18			2023-07-07	65993	ENSG00000074071	OTTHUMG00000128636	uc002cmo.4	BC001182	NM_023936		P82930		True	True
HGNC:7315	MS4A1	membrane spanning 4-domains A1	protein-coding gene	gene with protein product	Approved	11q12.2	11q12.2	B1|Bp35|FMC7		CD20	membrane-spanning 4-domains, subfamily A, member 1	CD molecules|Membrane spanning 4-domains	471|958	1989-05-23		2016-01-20	2023-01-20	931	ENSG00000156738	OTTHUMG00000167614	uc001npq.3	M27394	NM_021950	CCDS31570	P11836	2448768	False	True
HGNC:7325	MSH2	mutS homolog 2	protein-coding gene	gene with protein product	Approved	2p21-p16.3	02p21-p16.3	HNPCC|HNPCC1|MSH-2	DNA mismatch repair protein Msh2	COCA1	mutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1)|mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	MutS homologs	1026	1993-07-28		2013-09-12	2023-01-20	4436	ENSG00000095002	OTTHUMG00000128861	uc002rvy.3	U03911	NM_000251		P43246	8484120|9843200	True	True
HGNC:7326	MSH3	mutS homolog 3	protein-coding gene	gene with protein product	Approved	5q14.1	05q14.1	DUP|MRP1	Divergent upstream protein|Mismatch repair protein 1		mutS (E. coli) homolog 3|mutS homolog 3 (E. coli)	MutS homologs	1026	1995-09-28		2013-09-12	2023-01-20	4437	ENSG00000113318	OTTHUMG00000162540	uc003kgz.5	U61981	NM_002439	CCDS34195	P20585		True	False
HGNC:7327	MSH4	mutS homolog 4	protein-coding gene	gene with protein product	Approved	1p31.1	01p31.1				mutS (E. coli) homolog 4|mutS homolog 4 (E. coli)	MutS homologs	1026	1997-08-22		2013-09-12	2023-01-20	4438	ENSG00000057468	OTTHUMG00000009788	uc001dhd.3	U89293	NM_002440	CCDS670	O15457	9299235	True	True
HGNC:7328	MSH5	mutS homolog 5	protein-coding gene	gene with protein product	Approved	6p21.33	06p21.33	G7			mutS (E. coli) homolog 5|mutS homolog 5 (E. coli)	MutS homologs	1026	1998-03-10		2013-09-12	2023-01-20	4439	ENSG00000204410	OTTHUMG00000167551	uc003nww.3	AF070071	NM_002441		O43196	9740671|9787078|17977839	True	False
HGNC:7329	MSH6	mutS homolog 6	protein-coding gene	gene with protein product	Approved	2p16.3	02p16.3	MSH-6		GTBP	mutS (E. coli) homolog 6|mutS homolog 6 (E. coli)	MutS homologs|PWWP domain containing	1026|1147	1995-08-29		2013-09-12	2023-03-15	2956	ENSG00000116062	OTTHUMG00000129129	uc002rwd.5	U54777	NM_000179		P52701	7604266	True	True
HGNC:25544	MSL2	MSL complex subunit 2	protein-coding gene	gene with protein product	Approved	3q22.3	03q22.3	FLJ10546|KIAA1585|msl-2	male-specific lethal-2 homolog (Drosophila)	RNF184|MSL2L1	ring finger protein 184|male-specific lethal 2-like 1 (Drosophila)|male-specific lethal 2 homolog (Drosophila)	Ring finger proteins|MSL histone acetyltransferase complex	58|1481	2005-01-26	2008-10-29	2017-05-25	2023-01-20	55167	ENSG00000174579	OTTHUMG00000159793	uc003eqx.2	AK001408	NM_018133		Q9HCI7	16227571|16543150	True	True
HGNC:7370	MSL3	MSL complex subunit 3	protein-coding gene	gene with protein product	Approved	Xp22.2	Xp22.2			MSL3L1	male-specific lethal-3 (Drosophila)-like 1|male-specific lethal 3-like 1 (Drosophila)|male-specific lethal 3 homolog (Drosophila)	MSL histone acetyltransferase complex	1481	1999-08-09	2008-10-29	2017-05-25	2023-03-15	10943	ENSG00000005302	OTTHUMG00000021132	uc004cuw.3	AF117065	NM_006800		Q8N5Y2	10395802|10908644	True	True
HGNC:10545	MSMO1	methylsterol monooxygenase 1	protein-coding gene	gene with protein product	Approved	4q32.3	04q32.3	DESP4|ERG25		SC4MOL	sterol-C4-methyl oxidase-like	Fatty acid hydroxylase domain containing	552	1997-02-28	2011-09-01	2011-09-01	2023-01-20	6307	ENSG00000052802	OTTHUMG00000161126	uc003ire.4	U93162	NM_006745	CCDS3809|CCDS43280	Q15800	8663358	True	True
HGNC:7373	MSN	moesin	protein-coding gene	gene with protein product	Approved	Xq12	Xq12					FERM domain containing	1293	1993-02-05			2023-01-20	4478	ENSG00000147065	OTTHUMG00000021723	uc064zqh.1	M69066	NM_002444	CCDS14382	P26038	1924289|7628534	True	True
HGNC:7376	MSR1	macrophage scavenger receptor 1	protein-coding gene	gene with protein product	Approved	8p22	08p22	SCARA1|CD204|SR-AI|SR-AII|SR-AIII|SR-A				CD molecules|Scavenger receptors|Scavenger receptor cysteine rich domain containing	471|1253|1404	1991-08-07			2024-01-15	4481	ENSG00000038945	OTTHUMG00000094809	uc003wwz.4	D13263	NM_001363744		P21757	2251254	True	False
HGNC:27375	MSRB3	methionine sulfoxide reductase B3	protein-coding gene	gene with protein product	Approved	12q14.3	12q14.3	FLJ36866|DKFZp686C1178		DFNB74	deafness, autosomal recessive 74			2004-12-06			2023-01-20	253827	ENSG00000174099	OTTHUMG00000168866	uc001ssm.3	BX640871	NM_198080		Q8IXL7	21185009	True	True
HGNC:29678	MSTO1	misato mitochondrial distribution and morphology regulator 1	protein-coding gene	gene with protein product	Approved	1q22	01q22	FLJ10504|LST005|MST|misato			misato homolog 1 (Drosophila)			2005-07-19		2018-11-09	2023-01-20	55154	ENSG00000125459	OTTHUMG00000014014	uc001fky.5	BX537684	NM_018116		Q9BUK6	16545939|17349998	True	True
HGNC:7391	MSX1	msh homeobox 1	protein-coding gene	gene with protein product	Approved	4p16.2	04p16.2	HYD1|OFC5		HOX7	msh (Drosophila) homeo box homolog 1 (formerly homeo box 7)|msh homeobox homolog 1 (Drosophila)	NKL subclass homeoboxes and pseudogenes	519	1993-05-26		2006-11-21	2023-01-20	4487	ENSG00000163132	OTTHUMG00000090335	uc003gif.4	M97676	NM_002448	CCDS3378	P28360	1685479|1973146	True	True
HGNC:7392	MSX2	msh homeobox 2	protein-coding gene	gene with protein product	Approved	5q35.2	05q35.2	CRS2|FPP|HOX8|MSH|PFM	craniosynostosis, type 2	PFM1	msh (Drosophila) homeo box homolog 2|parietal foramina 1|msh homeobox homolog 2 (Drosophila)	NKL subclass homeoboxes and pseudogenes	519	1993-05-26		2006-11-21	2023-01-20	4488	ENSG00000120149	OTTHUMG00000130556	uc003mcy.4	D26145	NM_001363626		P35548	8668339|8786091	True	True
HGNC:7414	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6	protein-coding gene	gene with protein product	Approved	mitochondria	mitochondria	ATP6|ATPase-6|Su6m	mitochondrially encoded ATP synthase membrane subunit a	MTATP6|RP	ATP synthase 6|spicular retinitis pigmentosa with dementia, seizures, ataxia, proximal muscle weakness and sensory deficit|mitochondrially encoded ATP synthase 6	Mitochondrial complex V: ATP synthase subunits|Mitochondrially encoded protein coding genes	644|1974	1989-10-12	2005-02-16	2017-11-22	2021-05-26	4508	ENSG00000198899		uc064xpf.1		YP_003024031		P00846	7219534	False	True
HGNC:7415	MT-ATP8	mitochondrially encoded ATP synthase membrane subunit 8	protein-coding gene	gene with protein product	Approved	mitochondria	mitochondria	ATP8|A6L|URFA6L	mitochondrially encoded ATP synthase membrane subunit A6L	MTATP8	ATP synthase 8|mitochondrially encoded ATP synthase 8	Mitochondrial complex V: ATP synthase subunits|Mitochondrially encoded protein coding genes	644|1974	1989-10-12	2005-02-16	2017-11-22	2021-05-26	4509	ENSG00000228253		uc064xpe.1		YP_003024030		P03928		False	True
HGNC:7419	MT-CO1	mitochondrially encoded cytochrome c oxidase I	protein-coding gene	gene with protein product	Approved	mitochondria	mitochondria	COX1|COI		MTCO1	cytochrome c oxidase I	Mitochondrial complex IV: cytochrome c oxidase subunits|Mitochondrially encoded protein coding genes	643|1974	1989-10-12	2005-02-16	2005-02-15	2021-05-26	4512	ENSG00000198804		uc031tga.3		YP_003024028		P00395	7219534	False	True
HGNC:7421	MT-CO2	mitochondrially encoded cytochrome c oxidase II	protein-coding gene	gene with protein product	Approved	mitochondria	mitochondria	COX2|CO2		MTCO2	cytochrome c oxidase II	Mitochondrial complex IV: cytochrome c oxidase subunits|Mitochondrially encoded protein coding genes|Cupredoxin superfamily	643|1974|3427	1989-10-12	2005-02-16	2005-02-15	2021-12-02	4513	ENSG00000198712		uc064xpd.1		YP_003024029		P00403	1712754|1989603	False	True
HGNC:7422	MT-CO3	mitochondrially encoded cytochrome c oxidase III	protein-coding gene	gene with protein product	Approved	mitochondria	mitochondria	COX3|COIII|CO3		MTCO3	cytochrome c oxidase III	Mitochondrial complex IV: cytochrome c oxidase subunits|Mitochondrially encoded protein coding genes	643|1974	1989-10-12	2005-02-16	2005-02-15	2021-12-02	4514	ENSG00000198938		uc064xpg.1		YP_003024032		P00414		False	True
HGNC:7427	MT-CYB	mitochondrially encoded cytochrome b	protein-coding gene	gene with protein product	Approved	mitochondria	mitochondria	COB|CYTB|UQCR3		MTCYB	cytochrome b	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits|Mitochondrially encoded protein coding genes	642|1974	1989-10-11	2005-02-16	2005-02-15	2021-12-02	4519	ENSG00000198727		uc033dmn.2		YP_003024038		P00156		False	True
HGNC:7455	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	protein-coding gene	gene with protein product	Approved	mitochondria	mitochondria	ND1|NAD1	complex I ND1 subunit|NADH-ubiquinone oxidoreductase chain 1	MTND1	NADH dehydrogenase 1|mitochondrially encoded NADH dehydrogenase 1	NADH:ubiquinone oxidoreductase core subunits|Mitochondrially encoded protein coding genes	1149|1974	1989-10-12	2005-02-16	2015-11-20	2021-12-02	4535	ENSG00000198888		uc064xou.1		YP_003024026		P03886		False	True
HGNC:7456	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	protein-coding gene	gene with protein product	Approved	mitochondria	mitochondria	ND2|NAD2	complex I ND2 subunit|NADH-ubiquinone oxidoreductase chain 2	MTND2	NADH dehydrogenase 2|mitochondrially encoded NADH dehydrogenase 2	NADH:ubiquinone oxidoreductase core subunits|Mitochondrially encoded protein coding genes	1149|1974	1989-10-12	2005-02-16	2015-11-20	2021-05-26	4536	ENSG00000198763		uc064xox.1		YP_003024027		P03891		False	True
HGNC:7458	MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	protein-coding gene	gene with protein product	Approved	mitochondria	mitochondria	ND3|NAD3	complex I ND3 subunit|NADH-ubiquinone oxidoreductase chain 3	MTND3	NADH dehydrogenase 3|mitochondrially encoded NADH dehydrogenase 3	NADH:ubiquinone oxidoreductase core subunits|Mitochondrially encoded protein coding genes	1149|1974	1989-10-12	2005-02-16	2015-11-20	2021-05-26	4537	ENSG00000198840		uc022bqu.3		YP_003024033		P03897		False	True
HGNC:7459	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	protein-coding gene	gene with protein product	Approved	mitochondria	mitochondria	ND4|NAD4	complex I ND4 subunit|NADH-ubiquinone oxidoreductase chain 4	MTND4|LHON	NADH dehydrogenase 4|Leber optic neuropathy|mitochondrially encoded NADH dehydrogenase 4	NADH:ubiquinone oxidoreductase core subunits|Mitochondrially encoded protein coding genes	1149|1974	1989-06-03	2005-02-16	2015-11-20	2021-12-02	4538	ENSG00000198886		uc064xpj.1		YP_003024035		P03905	8103501	False	True
HGNC:7460	MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	protein-coding gene	gene with protein product	Approved	mitochondria	mitochondria	ND4L|NAD4L	complex I ND4L subunit|NADH-ubiquinone oxidoreductase chain 4L	MTND4L	NADH dehydrogenase 4L|mitochondrially encoded NADH dehydrogenase 4L	NADH:ubiquinone oxidoreductase core subunits|Mitochondrially encoded protein coding genes	1149|1974	1989-10-12	2005-02-16	2015-11-20	2021-05-26	4539	ENSG00000212907		uc033dmm.2		YP_003024034		P03901		False	True
HGNC:7461	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	protein-coding gene	gene with protein product	Approved	mitochondria	mitochondria	ND5|NAD5	complex I ND5 subunit|NADH-ubiquinone oxidoreductase chain 5	MTND5	NADH dehydrogenase 5|mitochondrially encoded NADH dehydrogenase 5	NADH:ubiquinone oxidoreductase core subunits|Mitochondrially encoded protein coding genes	1149|1974	1989-10-11	2005-02-16	2015-11-20	2021-05-26	4540	ENSG00000198786		uc004cox.6		YP_003024036		P03915		False	True
HGNC:7462	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	protein-coding gene	gene with protein product	Approved	mitochondria	mitochondria	NAD6|ND6	complex I ND6 subunit|NADH-ubiquinone oxidoreductase chain 6	MTND6	NADH dehydrogenase 6|mitochondrially encoded NADH dehydrogenase 6	NADH:ubiquinone oxidoreductase core subunits|Mitochondrially encoded protein coding genes	1149|1974	1989-10-11	2005-02-16	2015-11-20	2021-12-02	4541	ENSG00000198695		uc064xpm.1		YP_003024037		P03923		False	True
HGNC:7470	MT-RNR1	mitochondrially encoded 12S rRNA	non-coding RNA	RNA, ribosomal	Approved	mitochondria	mitochondria	12S|MOTS-c	mitochondrial open-reading-frame of the twelve S rRNA type-c|mitochondrially encoded 12S ribosomal RNA	MTRNR1	12S RNA|mitochondrially encoded 12S RNA	Mitochondrially encoded ribosomal RNAs	1378	1989-10-12	2005-02-16	2019-03-15	2021-12-02	4549	ENSG00000211459		uc022bqo.3				A0A0C5B5G6	22852811|25738459|25650108	False	True
HGNC:7475	MT-TA	mitochondrially encoded tRNA-Ala (GCN)	non-coding RNA	RNA, transfer	Approved	mitochondria	mitochondria	trnA	mitochondrially encoded transfer RNA alanine	MTTA	tRNA alanine|mitochondrially encoded tRNA alanine	Mitochondrially encoded transfer RNAs	843	1989-10-12	2005-02-16	2018-11-16	2022-01-19	4553	ENSG00000210127		uc022bqq.2					7219534|25873012	False	True
HGNC:7477	MT-TC	mitochondrially encoded tRNA-Cys (UGU/C)	non-coding RNA	RNA, transfer	Approved	mitochondria	mitochondria	trnC		MTTC	tRNA cysteine|mitochondrially encoded tRNA cysteine	Mitochondrially encoded transfer RNAs	843	1989-10-12	2005-02-16	2018-11-16	2021-12-02	4511	ENSG00000210140		uc064xoz.1					7219534	False	True
HGNC:7478	MT-TD	mitochondrially encoded tRNA-Asp (GAU/C)	non-coding RNA	RNA, transfer	Approved	mitochondria	mitochondria	trnD		MTTD	tRNA aspartic acid|mitochondrially encoded tRNA aspartic acid	Mitochondrially encoded transfer RNAs	843	1989-10-12	2005-02-16	2018-11-16	2021-12-02	4555	ENSG00000210154		uc064xpc.1					7219534	False	True
HGNC:7479	MT-TE	mitochondrially encoded tRNA-Glu (GAA/G)	non-coding RNA	RNA, transfer	Approved	mitochondria	mitochondria	trnE		MTTE	tRNA glutamic acid|mitochondrially encoded tRNA glutamic acid	Mitochondrially encoded transfer RNAs	843	1989-10-11	2005-02-16	2018-11-16	2021-12-02	4556	ENSG00000210194		uc022bqv.3					7219534	False	True
HGNC:7481	MT-TF	mitochondrially encoded tRNA-Phe (UUU/C)	non-coding RNA	RNA, transfer	Approved	mitochondria	mitochondria	trnF		MTTF	tRNA phenylalanine|mitochondrially encoded tRNA phenylalanine	Mitochondrially encoded transfer RNAs	843	1989-10-11	2005-02-16	2018-11-16	2021-12-02	4558	ENSG00000210049		uc064xos.1					7219534	False	True
HGNC:7486	MT-TG	mitochondrially encoded tRNA-Gly (GGN)	non-coding RNA	RNA, transfer	Approved	mitochondria	mitochondria	trnG		MTTG	tRNA glycine|mitochondrially encoded tRNA glycine	Mitochondrially encoded transfer RNAs	843	1989-10-12	2005-02-16	2018-11-16	2021-12-02	4563	ENSG00000210164		uc064xph.1					7219534	False	True
HGNC:7487	MT-TH	mitochondrially encoded tRNA-His (CAU/C)	non-coding RNA	RNA, transfer	Approved	mitochondria	mitochondria	trnH		MTTH	tRNA histidine|mitochondrially encoded tRNA histidine	Mitochondrially encoded transfer RNAs	843	1989-10-12	2005-02-16	2018-11-16	2021-12-02	4564	ENSG00000210176		uc064xpk.1					7219534	False	True
HGNC:7488	MT-TI	mitochondrially encoded tRNA-Ile (AUU/C)	non-coding RNA	RNA, transfer	Approved	mitochondria	mitochondria	trnI		MTTI	tRNA isoleucine|mitochondrially encoded tRNA isoleucine	Mitochondrially encoded transfer RNAs	843	1989-10-12	2005-02-16	2018-11-16	2021-12-02	4565	ENSG00000210100		uc064xov.1					7219534	False	True
HGNC:7489	MT-TK	mitochondrially encoded tRNA-Lys (AAA/G)	non-coding RNA	RNA, transfer	Approved	mitochondria	mitochondria	trnK		MERRF|MTTK	tRNA lysine|mitochondrially encoded tRNA lysine	Mitochondrially encoded transfer RNAs	843	1989-10-12	2005-02-16	2018-11-16	2021-12-02	4566	ENSG00000210156		uc011mfi.3					7219534|2112427|2124116	False	True
HGNC:7490	MT-TL1	mitochondrially encoded tRNA-Leu (UUA/G) 1	non-coding RNA	RNA, transfer	Approved	mitochondria	mitochondria	TRNL1		MTTL1	tRNA leucine 1 (UUA/G)|mitochondrially encoded tRNA leucine 1 (UUA/G)	Mitochondrially encoded transfer RNAs	843	1989-10-12	2005-02-16	2018-11-16	2021-12-02	4567	ENSG00000209082		uc064xot.1					7219534	False	True
HGNC:7491	MT-TL2	mitochondrially encoded tRNA-Leu (CUN) 2	non-coding RNA	RNA, transfer	Approved	mitochondria	mitochondria	TRNL2		MTTL2	tRNA leucine 2 (CUN)|mitochondrially encoded tRNA leucine 2 (CUN)	Mitochondrially encoded transfer RNAs	843	1989-10-12	2005-02-16	2018-11-16	2021-12-02	4568	ENSG00000210191		uc064xpl.1					7219534	False	True
